" not found!",未找到！
"Spinner Settings",微调器设置
"Split Chars",拆分字符
"Split Lines",分裂线
"Split Words",分裂的话
Square,广场
Standard,标准
"Standard Resolution",标准分辨率
Start,开始
"Start Earlier",早点开始
"Start Frame",开始帧
"Start Guide",入门指南
"Start Slider",开始Slider
Static,静态的
"Static Layer",静态层
"Stop Other Media",停止其他媒体
"Stop Slider Progress",停止滑块进度
"Stop after N Loops",N循环后停止
"Stop on Hover",停在悬停上
Stretch,伸展
"Stretch Slides",伸展Slides
"Stroke Color",中风颜色
Style,样式
"Style Global",风格全球
"Style on Slide",风格上Slide
Support,支持
"Swipe Dir",滑动目录
"Swipe Settings",滑动设置
"Switch slider to next slide.","开关slider到下一个slide 。"
"Switch slider to previous slide.","开关slider到以前slide 。"
"Switch to the slide which is defined as parameter.",切换到slide它被定义为参数。
TabIndex,的TabIndex
Tablet,片剂
Tabs,标签
"Tabs Style",标签样式
"Tabs Type",标签类型
"Tabs Visibility",标签可见性
Target,目标
"Target Layer",目标层
Text,文本
"Text Align",文字对齐
"Text Color",文字颜色
"Text Shadow",文字阴影
"Text Tweets",文字推文
"Text/Button Layer Content",文本/按钮层内容
"The Current Size is set to ""Auto Size"". Do you want to continue with Custom Size?",“当前大小”设置为“自动大小”。要继续使用自定义尺寸吗？
"The link to the post",帖子的链接
"The “Vimeo Stream” content source is used to display a full stream of videos from a user/album/group/channel.<br> If you want to display a single vimeo video, please select the content source “Default Slider” and add a video layer in the slide editor.","“Vimeo Stream”内容源用于显示来自用户/相册/群组/频道的完整视频流。<br>如果要显示单个vimeo视频，请选择内容源“默认Slider”并添加幻灯片编辑器中的视频图层。"
"The “YouTube Stream” content source is used to display a full stream of videos from a channel/playlist.<br> If you want to display a single youtube video, please select the content source “Default Slider” and add a video layer in the slide editor.","“YouTube Stream”内容源用于显示来自频道/播放列表的完整视频流。<br>如果您要显示单个YouTube视频，请选择内容源“默认Slider”并添加视频图层幻灯片编辑器。"
"ThemePunch Server",ThemePunch服务器
"This Guide will help you with the basic configuration *<br>of your Slider Revolution 6 Module.","本指南将帮助您了解Slider Revolution 6模块的基本配置*。"
"This Source Type must be from posts.",此来源类型必须来自帖子。
"Three Spikes",三个尖刺
"Thumb Type",拇指类型
Thumbnail,缩略图
Thumbs,大拇指
"Thumbs Style",大拇指风格
"Thumbs Visibility",拇指可见性
TimeLine,时间线
Timeline,时间线
"Timeline Scroll Based",时间轴滚动
"Timelines Scroll based",时间轴基于滚动
"Timer Paused",定时器暂停
"Timer Resumed",计时器恢复
Title,标题
"Title Descending",标题降序
"To Slide",至Slide
Toggle,切换
"Toggle Class",切换Class
"Toggle Document Body Class on Open and Close of the Modal.",在打开和关闭时切换文档正文类弹出
"Toggle Fullscreen",切换全屏
"Toggle Slider",切换Slider
"Toggle Start State",切换开始状态
"Toggled (Visible)",切换（可见）
"Toggled in Hover Style",切换为悬停风格
Top,最佳
Touch,触摸
Transitions,转变
Transparent,透明
"Trigger Memory",触发记忆
"Triggered By",触发
"Triggered by",触发
"Twitter Settings",Twitter设置
"Two Spikes",两个尖刺
Type,类型
"Unbind all listeners, remove current animations and delete containers. Ready for Garbage collection.",取消绑定所有侦听器，删除当前动画并删除容器。准备垃圾收集。
"Under Mask",在面具下
Underline,强调
"Unlock All",全部解锁
Unpublished,未公布
Unselectable,不可选择
Unsorted,未分类
"Untoggled (Hidden)",未遮挡（隐藏）
"Up/Down Arrow Keys",上/下箭头键
"Update History",更新历史记录
"Update Now",现在更新
"Update Row",更新行
Updates,更新
"Updates, New Products, Spotlights",更新，新产品，聚光灯
"Upload Max. Filesize (256M)",上传最大。文件大小（256M）
"Upload folder writable",上传文件夹可写
Uppercase,大写
"Use Clip Path",使用剪辑路径
"Use Cover",使用封面
"Use Default on...",使用默认值...
"Use Full Screen or Full Width Layout to Use Fixed Scroll.",使用全屏或全宽布局使用固定滚动。
"Use Image",使用图片
"Use Masking",使用掩蔽
"Use Slide Loop",使用幻灯片循环
"Use Toggle",使用切换
User,用户
"User Name:",用户名：
"User Photoset",用户Photoset
"User Public Photos",用户公开照片
"User URL:",用户网址：
Username,用户名
"Using this data is only allowed with a valid licence of the jQuery Slider Revolution Plugin, which can be found at CodeCanyon: http://codecanyon.net/item/slider-revolution-responsive-jquery-plugin/2580848?ref=themepunch","使用此数据仅允许使用jQuery Slider Revolution插件的有效许可证，该插件可在CodeCanyon上找到：http://codecanyon.net/item/slider-revolution-responsive-jquery-plugin/2580848?ref=themepunch"
Velocity,速度
Vertical,垂直
"Vertical Align",垂直对齐
Video,视频
"Video API",视频API
"Video ID",视频ID
"Video Settings",视频设置
"Video from Stream if exist",如果存在，来自Stream的视频
"Video from Stream if exists",Stream中的视频（如果存在）
"Video is playing",视频正在播放
"Video is playing in slider",正在播放视频slider
"Video is stopped",视频已停止
"Video stopped in slider",视频停在了slider
Videos,影片
"View all posts in %s",查看%s所有帖子
"ViewPort Stop",ViewPort停止
Views,查看
Vimeo,Vimeo的
"Vimeo Settings",Vimeo设置
"Vimeo Video",Vimeo视频
Visibility,能见度
Visible,可见
"Visible amount",可见金额
"Visible in Navigation",在导航中可见
Wait,等待
"Wait for API",等待API
"Wait for Action",等待行动
"Welcome to Slider Revolution 6","欢迎来到Slider Revolution 6"
"Whats New?",什么是新的？
"Width Attrib.",宽度属性
"Width Based",基于宽度
Word,字
"Wordpress Multi Language",Wordpress多语言
"Wrapper Container","Wrapper 容器"
"Wrapper Max Height","Wrapper 最大高度"
"Wrong category format",错误的类别格式
"Wrong export slider file format! Please make sure that the uploaded file is either a zip file with a correct slider_export.txt in the root of it or an valid slider_export.txt file.","错误的出口slider 文件格式！请确保上传的文件是zip文件，其根目录中包含正确的slider_export.txt或有效的slider_export.txt文件。"
"Wrong request!",错误的要求！
"You are running Slider Revolution ","你正在运行Slider Revolution"
YouTube,YouTube的
"YouTube Poster",YouTube海报
"YouTube Settings",YouTube设置
"YouTube Thumb",YouTube拇指
"YouTube Video",YouTube视频
Youtube,的Youtube
"Z Position",Z位置
"Zoom In",放大
"Zoom Out",缩小
auto,汽车
"by Container",通过Container
"by PX or %",按PX或％
"coma separated list | ex: 23,24,25","分开的清单：23,24,25"
"could not find correct Slide to copy, please try again.",找不到正确的幻灯片复制，请再试一次。
"jQuery & OutPut Filters",jQuery和OutPut过滤器
"jQuery No Conflict Mode",jQuery没有冲突模式
"javaScript Function",javaScript函数
"left bottom",左下角
"left center",离开中心
"left top",左上角
none,没有
"right bottom",右下角
"right center",正确的中心
"right top",右上角
"slider_export.txt does not exist!",slider_export.txt不存在！
"youtube, vimeo, html5",youtube，vimeo，html5
